index,SMILES,RE(eV),HOMO-1(eV),HOMO(eV),LUMO(eV),LUMO+1(eV),E_0(hartree),E_0^-(hartree),E-(hartree),E_-^0(hartree),D_0 dipole moment(D),D_0^- dipole moment(D),D- dipole moment(D),D_-^0 dipole moment(D)
101,CN1C(=O)C2=C(c3sc4c(sc5c(F)csc54)c3F)N(C)C(=O)C2=C1C1=CC(=C(C#N)C#N)C=CS1,0.364061133,-6.515766378,-5.967729064,-3.680067843,-2.787806496,-3082.350947,-3082.446996,-3082.44929,-3082.339862,9.2502,11.9516,13.6546,10.2876
103,C[Si]1(C)c2cc(C(=O)O)sc2-c2sc(C(=O)c3cc4c(s3)-c3sc(C(=O)O)cc3[Si]4(C)C)cc21,0.402320342,-6.318211715,-6.137528112,-3.02781092,-2.540182883,-3435.181584,-3435.24802,-3435.24929,-3435.16807,5.1795,8.1933,5.2643,4.2998
104,N#Cc1cc(C#N)c(C2=CC=C(c3sc(C#N)cc3C#N)C3N=C(F)C(F)=NC23)s1,0.634411695,-7.986813905,-6.973189776,-3.976127722,-3.397341542,-2090.161934,-2090.261762,-2090.268021,-2090.144878,1.8997,2.2024,2.2094,2.2125
105,CN1C(=O)C2=C(c3cc4c(=O)[nH]c(=O)c5ccc6c(=O)[nH]c(=O)c3c6c54)N(C)C(=O)C2=C1c1nocc1C(=O)O,0.410312326,-7.177275171,-5.953034915,-4.122797093,-3.033797425,-1949.415545,-1949.519767,-1949.523332,-1949.404032,2.7624,12.5965,10.9234,2.8126
106,N#Cc1ccc2sc(-c3scc4c3SCCS4)c(-c3sc(-c4ccncn4)c4c3SCCS4)c2c1,0.428032381,-6.190318201,-6.012083623,-2.420452785,-1.913504664,-3913.188877,-3913.231716,-3913.23603,-3913.177462,3.7655,6.6724,5.703,3.9158
107,Cc1oc2ccccc2c(=O)c1-c1nc2ccc(-c3c4c(=O)n(C)c(=O)c4c(-c4ccc5nc(-c6c(C)oc7ccccc7c6=O)oc5c4)c4c5ccc(C#N)c6cccc(c34)c65)cc2o1,0.336931381,-6.531276868,-6.416172705,-3.151622727,-2.053099074,-2895.39272,-2895.4651,-2895.468099,-2895.383338,6.8019,12.0106,15.5555,7.0284
108,O=C(c1ccc(-c2ccc(C(=O)c3ccoc3-c3nccn3C(=O)n3ccnc3)s2)s1)c1cocc1-c1ccc(C(=O)c2ccoc2-c2nccn2C(=O)n2ccnc2)s1,0.562984528,-6.479575234,-6.282836914,-3.069716455,-2.481406289,-3809.837957,-3809.905455,-3809.910788,-3809.8226,2.7015,6.9076,5.7225,3.9272
109,O=C(c1ccc(-c2scc3c2SCCO3)s1)c1cocc1-c1nc2ccc(C3COc4nsnc4O3)cc2o1,0.507070572,-6.20718926,-5.909496698,-2.462358319,-1.949967921,-3208.050363,-3208.090803,-3208.095676,-3208.036601,1.2942,12.4798,10.9331,1.7514
110,N#CC(C#N)=C1C=C(c2ccncn2)OC(c2nc(F)c(C3=CC(=C(C#N)C#N)C=C(c4ccncn4)O3)c3nsnc23)=C1,0.429907245,-7.027612548,-6.820806015,-4.814782639,-3.561154086,-2361.675899,-2361.810218,-2361.811706,-2361.661587,4.5024,2.6878,1.5773,4.1584
112,N#CC(C#N)=C1C=C(C=Cc2ccnc(-c3ncc(C#N)s3)n2)SC(C=Cc2ccnc(-c3ncc(C#N)s3)n2)=C1,0.488468869,-7.110063048,-6.320932854,-3.444145126,-3.040056044,-2816.101082,-2816.18184,-2816.186938,-2816.088229,11.3253,10.6694,11.4262,11.6789
